,player_id,player_name,team_name,accuratecrosses,accuratecrossespercentage,accuratefinalthirdpasses,accuratelongballs,accuratelongballspercentage,accuratepasses,accuratepassespercentage,aerialduelswon,aerialduelswonpercentage,age,appearances,assists,bigchancescreated,bigchancesmissed,blockedshots(defensive),blockedshots(offensive),cleansheet(gk),cleansheet(df),clearances,crossesnotclaimed,detailed_positions,dribbledpast,errorleadtogoal,errorleadtoshot,expectedassists,expectedgoals,fouls,goalconversionpercentage,goals,goalsassistssum,goalsconceded,height_cm,inaccuratepasses,interceptions,keypasses,matchesstarted,minutesplayed,offsides,passtoassist,penaltiestaken,penaltyconversion,penaltygoals,position,preferred_foot,rating,redcards,savedshotsfrominsidethebox,saves,shotsontarget,successfuldribbles,successfuldribblespercentage,tackles,totalcross,totalduelswon,totalduelswonpercentage,totallongballs,totalpasses,totalshots,wasfouled,yellowcards,position_new
103,1126384,Ethan Pinto,Young Lions,1,20,10,4,36.36,177,81.19,2,33.33,20,15,2,0,0,0,0,0,0,9,0,ML,11,0,4,0.27,1.92,7,6.67,1,3,24,166,41,8,5,10,977,3,1,0,0,0,M,0,6.67,0,0,0,7,20,52.63,7,5,53,31.74,11,218,15,19,2,M
104,1862857,Stefan Paunović,Tanjong Pagar United,0,0,45,18,50,315,81.82,6,27.27,23,13,0,0,0,5,4,0,0,15,0,MC,16,0,4,0.41,0.67,10,5.88,1,1,41,181,70,17,5,12,1088,1,1,0,0,0,M,Right,6.65,0,0,0,5,6,54.55,11,5,45,31.91,36,385,17,6,3,M
105,1024152,Khairin Nadim,Young Lions,6,30,15,9,42.86,181,72.69,0,0,21,16,1,2,1,2,3,0,0,6,0,ST,15,0,7,1.42,1.08,13,11.11,1,2,29,171,68,6,5,9,952,4,1,0,0,0,M,0,6.56,0,0,0,2,24,63.16,5,20,61,32.11,21,249,9,4,2,F
106,809851,Ahmad Syahir,Geylang International,8,42.11,15,7,70,139,79.89,3,33.33,33,20,2,0,0,1,0,0,0,18,0,DL,21,0,4,0.46,0,5,0,0,2,17,155,35,10,5,2,549,0,1,0,0,0,D,Right,6.54,0,0,0,0,10,66.67,6,19,34,32.38,10,174,0,6,2,D
107,1014766,Fathullah Rahmat,Tanjong Pagar United,4,100,43,20,62.5,373,85.94,3,42.86,22,22,0,0,0,0,1,0,0,14,0,"MC, DM",32,0,8,0.59,0.1,18,14.29,1,1,35,171,61,18,5,14,1239,0,0,0,0,0,M,Right,6.54,0,0,0,3,7,70,3,4,46,29.68,32,434,7,5,4,M
108,1652070,Ajay Robson Muralithran,Hougang United,3,37.5,29,11,68.75,269,87.34,2,33.33,21,16,1,0,0,1,0,0,0,4,0,MC,25,0,5,0.4,0.31,12,0,0,1,29,175,39,8,5,8,943,1,1,0,0,0,M,Right,6.47,0,0,0,2,9,64.29,1,8,52,39.1,16,308,3,8,3,M
109,73624,Damir Muminović,Brunei DPMM FC,1,50,41,58,44.96,429,80.79,18,50,35,14,1,1,0,23,1,0,3,82,0,DC,27,0,17,0.66,0.47,12,0,0,1,23,186,102,50,4,14,1260,0,0,0,0,0,D,Right,7.14,0,0,0,1,4,100,5,2,45,37.82,129,531,4,3,0,D
110,845751,Rui Pires,Lion City Sailors,1,100,139,33,60,740,92.04,7,63.64,27,15,0,0,0,4,2,0,0,7,0,"MC, DM",22,0,9,0.24,0.06,14,0,0,0,10,182,64,23,4,13,1203,0,3,0,0,0,M,Right,6.93,0,0,0,0,1,100,9,1,47,40.52,55,804,3,8,3,M
111,1186196,Keito Hariya,Geylang International,0,0,163,82,54.3,1679,91.45,61,62.24,22,30,1,0,0,31,1,0,5,64,0,DC,53,0,29,0.44,0.99,16,11.11,1,2,56,178,157,81,4,30,2700,1,2,0,0,0,D,Left,6.91,1,0,0,2,8,100,1,1,136,44.44,151,1836,9,14,1,D
112,1471026,Koki Kawachi,Albirex Niigata Singapore,1,50,166,124,55.36,1464,89.76,60,61.86,25,30,1,0,1,28,0,0,6,57,0,DC,55,0,21,0.14,1.57,19,8.33,2,3,63,180,167,55,4,30,2700,0,1,0,0,0,D,Right,6.85,0,0,0,5,2,100,5,2,134,44.82,224,1631,12,9,2,D
113,1087758,Lionel Tan,Lion City Sailors,0,0,170,48,51.61,1063,91.4,18,45,28,25,0,0,0,9,2,0,6,40,0,"DC, DR",44,0,9,0.32,0.42,25,16.67,1,1,14,183,100,31,4,21,2031,2,0,0,0,0,D,Right,6.79,0,0,0,1,4,57.14,0,4,60,30.61,93,1163,6,2,5,D
114,980981,Azwan Saleh,Brunei DPMM FC,1,25,27,18,50,188,81.74,5,41.67,37,16,0,0,0,3,0,0,0,9,0,"AM, MC",7,0,2,0.18,0.1,3,50,1,1,19,168,42,6,4,4,648,0,0,0,0,0,M,Left,6.56,0,0,0,2,2,50,0,4,21,33.87,36,230,2,3,0,M
115,1534438,Abdul Hariz,Brunei DPMM FC,1,25,27,14,45.16,298,84.66,4,26.67,24,22,0,0,0,7,0,0,0,10,0,AM,35,0,15,0.2,0.34,16,0,0,0,17,0,54,19,4,14,1172,0,2,0,0,0,M,Right,6.52,0,0,0,0,12,66.67,2,4,53,29.94,31,352,7,10,3,M
116,1473122,Fudhil Iyadh,Balestier Khalsa,10,40,50,14,60.87,419,84.82,6,33.33,23,24,0,0,0,6,1,0,0,22,0,DR,56,0,8,0.45,0.3,16,0,0,0,25,165,75,18,4,13,1205,1,1,0,0,0,D,Right,6.43,1,0,0,2,10,62.5,6,25,53,27.46,23,494,4,16,3,D
117,981501,Jordan Vestering,Hougang United,11,37.93,55,25,36.76,561,77.81,20,58.82,24,24,0,0,1,14,1,0,1,41,0,DL,72,0,14,0.49,0.93,25,11.11,1,1,55,177,160,43,4,23,2160,0,1,0,0,0,D,Right,6.4,0,0,0,2,4,57.14,5,29,88,30.14,68,721,9,17,6,D
118,1897214,Nazry Aiman,Brunei DPMM FC,4,25,19,16,42.11,256,74.42,7,21.21,20,22,0,0,1,6,2,0,1,41,0,DR,85,0,15,0.21,0.48,20,0,0,0,26,179,88,24,4,11,1490,1,0,0,0,0,D,0,6.29,0,0,0,1,8,66.67,0,16,57,24.26,38,344,4,7,3,D
